numMintedSecondaryEvents,numSNXHolders,numsUSDHolders
4140,2649,2647

account,totalDeposited,SNX,sUSD
0xAe7DCAf0302BD2db47D683ffF7540970A979e640,200000.3,0.504686195655458596,0.0
0x5fB49c7E163aF81a117E0a0d26bdF9e8c7969B3F,10.0,10.0,0.0
0xEe34E8298e388FaBaA0deb85B54F0F64e7aEA88C,1206.212749287806232659,1687.500352548456403674,5876.759752848869494744
0x3C59F65C27d1cF9aE857Be5EcD5623f3f5ad7bBa,260.315979930632576138,0.0,0.0
0xAc3FD2570903B6528f2077a2D88ef2f172e5cC7d,14.436436429843960038,14.461097579207518575,0.0
0x4A51182454F744c4341Ad9D766DC2d1344Bb1843,181.447,181.447,677.366813462724832494
0xbc113aC29567eE89363E4d07462823F60b8B5528,637.516219970645729008,637.516219970645729008,2131.779920812438331224
0x2e403B969a64BdD1CA18fE10BABA4546957bc31e,3586.369628144257573409,0.0,59.651159581563994895
0x3839AcF1ee7699D1F46b1BE840D8aD8317FDf757,622.016005763485191955,622.016005763485191955,1772.198661509071562071
0xC5cF11a157937d8EaD1c0C3782b52F820f9bf880,71.417007925558529768,71.417007925558529768,100.0
0x539173C8554B8F44E973C293B4738AAeB06Af578,432.435514414618275137,541.849042279970083418,2054.570465871556189537
0x737a1a71a3e6beD4305Cd2f998243F795ceEdd22,861.899048043941358569,1060.954747561132648071,3711.545976399361112776
0x48D93dabF29Aa5d86424A90eE60F419f1837649F,94487.338039895222802699,0.0,825.281440026008579888
0x01fFCc7285866E5cEE14c8E807cB2E8d5f61079f,105.59436469417249208,137.012372787007885369,430.0
0x102902245322aAd61D55cfAD8213472A5702a593,932.347644781990798386,1395.913604825878120778,4102.236631573044216086
0xCE404775F6E88eA0d4Aa8Fa89A811B5cfC6e2abd,618.233694152633066209,618.233694152633066209,1509.520603222679063955
0x7a8170b3Ecf2b6850A62368879C8AA4fc1521106,9851.311694546890910444,0.0,824.294061746199051367
0x48Bd8b901811ae90b6e43eFed61c9b9fd8444060,343.405389631706782834,0.0,0.0
0x8b1AccEc02aBE410ca7fEd485a39f5Ba9868CF60,900.700562946594206013,1193.674121664141408624,4368.591682667166672127
0xB30452beCa9c462bC6773582c9e0d70Cc60E7321,7550.583398786737311215,0.0,0.0
